FID,FID_1,CODE_MECAN,RESEAU,COMMUNE,PROVINCE,NOM_REGION,ADRESSE,XX,XY,OBJECTID,ID,NAME,TOTPOP_CY
0,10,51500,CASA DERB SIDNA,MERS-SULTAN,CASABLANCA,CASABLANCA,2 Rue Moulay Rchid et Rue Mly Smail. Derb Soltan Derb Soltan 20504 CASABLANCA,-7.604000000000000,33.576999999999998,1,1001,Casablanca,3194449
1,27,50100,CASA AIN SEBAA,AIN-SEBAA,CASABLANCA,CASABLANCA,"7,3 KM Route de Rabat. Ain Sebaa 20253 CASABLANCA",-7.540000000000000,33.603999999999999,1,1001,Casablanca,3194449
2,33,54060,CASA OUM RABIAA,HAY-HASSANI,CASABLANCA,CASABLANCA,Aéroport Anfa Cité de l'air Hay Hassani  20036 CASABLANCA,-7.671000000000000,33.561000000000000,1,1001,Casablanca,3194449
3,58,52200,CASA TAKADOUM,HAY MOHAMMADI,CASABLANCA,CASABLANCA,Angle Avenue A et Avenue C Place de la mosquée. Hay Mohammadi Hay Mohammadi 20353 CASABLANCA,-7.567000000000000,33.587000000000003,1,1001,Casablanca,3194449
4,62,50000,CASA PPAL,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle Avenue Hassan II & Bd Paris Centre de Ville SIDI BELYOUT 20032 CASABLANCA,-7.619000000000000,33.593000000000004,1,1001,Casablanca,3194449
5,65,51700,CASA MAARIF,EL MAARIF,CASABLANCA,CASABLANCA,Angle Bd Bir Anzarane et Rue El Khalil Maarif 20104 CASABLANCA,-7.636000000000000,33.579999999999998,1,1001,Casablanca,3194449
6,66,55200,CASABLANCA GHANDI,EL MAARIF,CASABLANCA,CASABLANCA,Angle Bd Brahim Roudani et Bd Ghandi Maârif 20026 CASABLANCA,-7.644000000000000,33.570000000000000,1,1001,Casablanca,3194449
7,68,56700,CASA IBN TACHAFINE,HAY MOHAMMADI,CASABLANCA,CASABLANCA,ANGLE BD IBN TACHFINE                    20322 CASABLANCA,-7.572000000000000,33.585000000000001,1,1001,Casablanca,3194449
8,69,54500,CASA AIN BORJA,ASSOUKHOUR ASSAWDA,CASABLANCA,CASABLANCA,Angle Bd Ibn Tachfine et rue Rue Jean Louis Férre. Ain Borja 20302 CASABLANCA,-7.584000000000000,33.585000000000001,1,1001,Casablanca,3194449
9,73,51300,CASA BOURSE,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle Bd Mohamed V et Rue Chaouia ( Ex colder) Centre de Ville SIDI BELYOUT 20003,-7.613000000000000,33.594999999999999,1,1001,Casablanca,3194449
10,82,51900,CASA OASIS,EL MAARIF,CASABLANCA,CASABLANCA,Angle Place division Leclerc et Bd Abderrahim Bouabid. Oasis 20103 CASABLANCA,-7.634000000000000,33.557000000000002,1,1001,Casablanca,3194449
11,84,51800,CASA MERS SULTAN,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle rue Brugues et rue Suippes  Mers Sultan 20006 CASABLANCA,-7.614000000000000,33.584000000000003,1,1001,Casablanca,3194449
12,86,55500,CASABLANCA COMPLEXE MOHAMED V,EL MAARIF,CASABLANCA,CASABLANCA,Angle rue Ettabari et rue Ibn Al Assakir (Rue Sokrate) Maarif 20025 CASABLANCA,-7.646000000000000,33.579000000000001,1,1001,Casablanca,3194449
13,88,52600,CASA BANDOENG,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle Rue Ouled Ziane et Mohamed Diouri. Place Bandeong La Fayette 20002 CASABLANCA,-7.607000000000000,33.593000000000004,1,1001,Casablanca,3194449
14,185,53300,CASA EL HANK,ANFA,CASABLANCA,CASABLANCA,Avenue Mehdi Ben Barka. Quartier El Hank 20054 CASABLANCA,-7.653000000000000,33.603999999999999,1,1001,Casablanca,3194449
15,225,52500,CASA HAY EL FARAH,AL-FIDA,CASABLANCA,CASABLANCA,Bd Abdellah Senhaji. Hay El Amal 20552 CASABLANCA,-7.591000000000000,33.567999999999998,1,1001,Casablanca,3194449
16,227,52900,CASA SIDI BERNOUSSI,SIDI BERNOUSSI,CASABLANCA,CASABLANCA,Bd Abi Dar El Ghiffari Hay Ktafa 20605 CASABLANCA,-7.510000000000000,33.609999999999999,1,1001,Casablanca,3194449
17,230,54800,CASA AL QODS,SIDI BERNOUSSI,CASABLANCA,CASABLANCA,Bd Al Imam Lait Ibn Saad. Zenata I Hay El Qods 20602 CASABLANCA,-7.484000000000000,33.618000000000002,1,1001,Casablanca,3194449
18,232,54200,CASA DAR LAMANE,AIN-SEBAA,CASABLANCA,CASABLANCA,Bd Ali Yaata. Dar Lamane 20352 CASABLANCA,-7.559000000000000,33.593000000000004,1,1001,Casablanca,3194449
19,233,53900,CASA DERB GHALLEF,EL MAARIF,CASABLANCA,CASABLANCA,Bd Anoual. Derb Ghallef 20102 CASABLANCA,-7.632000000000000,33.570000000000000,1,1001,Casablanca,3194449
20,241,51600,CASA EL FIDA,AL-FIDA,CASABLANCA,CASABLANCA,Bd El Fida. Hay El Fida 20554 CASABLANCA,-7.605000000000000,33.567000000000000,1,1001,Casablanca,3194449
21,265,54600,CASA 2 MARS,MERS-SULTAN,CASABLANCA,CASABLANCA,Bd La Martine C.U Mers Sultan 20502 CASABLANCA,-7.611000000000000,33.569000000000003,1,1001,Casablanca,3194449
22,286,53400,CASA SIDI MOUMEN,SIDI MOUMEN,CASABLANCA,CASABLANCA,Bd Nassiba Bintou Kaab. Sidi Moumen 20402 CASABLANCA,-7.546000000000000,33.579000000000001,1,1001,Casablanca,3194449
23,287,51400,CASA AIN DIAB,ANFA,CASABLANCA,CASABLANCA,Bd Océan Atlantique. Ain Diab 20052 CASABLANCA,-7.676000000000000,33.591999999999999,1,1001,Casablanca,3194449
24,288,53700,CASA HAY EL OULFA,HAY-HASSANI,CASABLANCA,CASABLANCA,Bd Oum Rabia. Hay El Oulfa Hay El Oulfa 20202 CASABLANCA,-7.681000000000000,33.558000000000000,1,1001,Casablanca,3194449
25,289,51000,CASA AIN CHOK,AIN-CHOCK,CASABLANCA,CASABLANCA,Bd Panoramique. Ain Chock 20153 CASABLANCA,-7.597000000000000,33.555999999999997,1,1001,Casablanca,3194449
26,325,56200,CASA BD EL GUERNAOUI,SIDI BERNOUSSI,CASABLANCA,CASABLANCA,Boulevard el Guernaoui Sidi el Bernoussi 20604 CASABLANCA,-7.497000000000000,33.612000000000002,1,1001,Casablanca,3194449
27,339,50070,CASABLANCA TECHNOPARK,AIN-CHOCK,CASABLANCA,CASABLANCA,"Casablanca Technopark Route de Nouaceur, Angle RS 114 et CT 1029 Ain Chok 20 001 CASABLANCA",-7.641000000000000,33.542000000000002,1,1001,Casablanca,3194449
28,1376,53460,CASA HAY RHAMNA,SIDI MOUMEN,CASABLANCA,CASABLANCA,Complexe Choujaa hay rhamna  20046 CASABLANCA,-7.511000000000000,33.594000000000001,1,1001,Casablanca,3194449
29,1394,50073,CASABLANCA OASIS GARE,EL MAARIF,CASABLANCA,CASABLANCA,Gare ouasis maarif  20035 CASABLANCA,-7.630000000000000,33.555999999999997,1,1001,Casablanca,3194449
30,1413,51060,CASA HAY RMILA,AIN-CHOCK,CASABLANCA,CASABLANCA,Hay Ingrit Ben Lamdoune Hay rmila 20062 CASABLANCA,-7.599000000000000,33.557000000000002,1,1001,Casablanca,3194449
31,1426,51200,CASA HAY MY RACHID,MOULAY RACHID,CASABLANCA,CASABLANCA,"Immeuble 10 Rue C Ex Bournazil, marché JAUBERT Hay My Rachid Ex Bournazil 20703 CASABLANCA",-7.558000000000000,33.573000000000000,1,1001,Casablanca,3194449
32,1445,50200,AIN HARROUDA,AIN HARROUDA,MOHAMMEDIA,CASABLANCA,Km 17 Centre Ain Harrouda 28632 AIN HARROUDA,-7.450000000000000,33.637000000000000,1,1001,Casablanca,3194449
33,1447,53800,CASA LISSASFA,HAY-HASSANI,CASABLANCA,CASABLANCA,KM 9 Route d'El Jadida. Lissasfa Lissasfa 20232 CASABLANCA,-7.673000000000000,33.531999999999996,1,1001,Casablanca,3194449
34,1466,50010,CASABLANCA BACHKOU,EL MAARIF,CASABLANCA,CASABLANCA,"lots bachkou, lot 63 en face immeubles porte de california, 20076 casablanca",-7.626000000000000,33.555999999999997,1,1001,Casablanca,3194449
35,1482,56100,CASABLANCA MOUSSA BNOU NOUCEIR,SIDI BELYOUT,CASABLANCA,CASABLANCA,N° 1 ONGLE MOUSSA BNOU NOUCEIR ET RUE AFRED QUARTIER GAUTHIER 20012 CASABLANCA,-7.628000000000000,33.591000000000001,1,1001,Casablanca,3194449
36,1484,56500,CASABLANCA BOULEVARD ABDELMOUMEN,EL MAARIF,CASABLANCA,CASABLANCA,N° 115 BD ABDELMOUMEN                    20042 CASA,-7.624000000000000,33.582000000000001,1,1001,Casablanca,3194449
37,1490,55800,CASA BOULEVARD MOHAMED VI,ASSOUKHOUR ASSAWDA,CASABLANCA,CASABLANCA,N° 583 BOULEVARD MOHAMED VI  20553 CASABLANCA,-7.575000000000000,33.576000000000001,1,1001,Casablanca,3194449
38,1492,50500,CASA HAY HASSANI,HAY-HASSANI,CASABLANCA,CASABLANCA,"N°100 Derb El Houria, rue Ibn Al Khattib. Hay Hassani Hay Hassani 20204 CASABLANCA",-7.674000000000000,33.573999999999998,1,1001,Casablanca,3194449
39,1506,55600,CASABLANCA AHL LOGHLAM,SIDI MOUMEN,CASABLANCA,CASABLANCA,"Panorama 1ère tranche, Hay El Azhar Arrodissement Sidi Moumen, 20603 CASABLANCA",-7.489000000000000,33.600999999999999,1,1001,Casablanca,3194449
40,1512,52700,CASA BOUSMARA,SIDI BELYOUT,CASABLANCA,CASABLANCA,Place Ahmed Al Bidaoui Bousmara 20004 CASABLANCA,-7.617000000000000,33.600000000000001,1,1001,Casablanca,3194449
41,1533,52000,CASA GARE,ASSOUKHOUR ASSAWDA,CASABLANCA,CASABLANCA,Place Mohamed VI. Belvedere 20304 CASABLANCA,-7.591000000000000,33.591000000000001,1,1001,Casablanca,3194449
42,1566,50030,CASABLANCA EMILE ZOLA,ASSOUKHOUR ASSAWDA,CASABLANCA,CASABLANCA,"Quartier Ahfad2, Roches noires  20082 CASABLANCA",-7.594000000000000,33.595999999999997,1,1001,Casablanca,3194449
43,1571,55900,CASA QUARTIER DES HOPITAUX,MERS-SULTAN,CASABLANCA,CASABLANCA,quartier des hopitaux 20503 CASABLANCA,-7.615000000000000,33.578000000000003,1,1001,Casablanca,3194449
44,1574,50020,CASABLANCA AIN SBAA AL HADIKA,AIN-SEBAA,CASABLANCA,CASABLANCA,"Quartier HILIWA, Ain Sebaa  20254 CASABLANCA",-7.531000000000000,33.603000000000002,1,1001,Casablanca,3194449
45,1632,54100,CASA AIN SEBAA PLAGE,AIN-SEBAA,CASABLANCA,CASABLANCA,Route Zenata. Ain Sebaa 20252 CASABLANCA,-7.536000000000000,33.619999999999997,1,1001,Casablanca,3194449
46,1652,52100,CASA ROCHES NOIRES,ASSOUKHOUR ASSAWDA,CASABLANCA,CASABLANCA,Rue Amr Bnou El Ass. Roches Noires 20303 CASABLANCA,-7.583000000000000,33.600999999999999,1,1001,Casablanca,3194449
47,1654,51100,CASA BOURGOGNE,SIDI BELYOUT,CASABLANCA,CASABLANCA,Rue Bir Jdid. Bourgogne Bourgogne 20053 CASABLANCA,-7.637000000000000,33.594999999999999,1,1001,Casablanca,3194449
48,1668,56400,CASA SIDI SOUFI,SIDI BELYOUT,CASABLANCA,CASABLANCA,Rue El Brouj sidi soufi  20001 CASABLANCA,-7.634000000000000,33.601999999999997,1,1001,Casablanca,3194449
49,1698,54000,CASA HAY ESSALAM,HAY-HASSANI,CASABLANCA,CASABLANCA,"Rue Tifnit, Bd Yacoub El Mansour  Hay Essalam C.I.L 20203 CASABLANCA",-7.653000000000000,33.570999999999998,1,1001,Casablanca,3194449
50,1720,50562,CASA SIDI EL KHADIR,HAY-HASSANI,CASABLANCA,CASABLANCA,Sidi Khadir hay hassani  20200 CASABLANCA,-7.686000000000000,33.570000000000000,1,1001,Casablanca,3194449
51,78,53100,MEDIOUNA,MEDIOUNA,MEDIOUNA,CASABLANCA,Angle Bd Zerktouni et Bd Kasba 29492 MEDIOUNA,-7.515000000000000,33.448999999999998,2,1002,Médiouna,197277
52,1212,50830,OUED HASSAR,SIDI HAJJAJ OUED HASSAR,MEDIOUNA,CASABLANCA,commune SIDI HAJJAJ OUED HASSAR 29672 MEDIOUNA,-7.415000000000000,33.540999999999997,2,1002,Médiouna,197277
53,1419,56310,CASA EL HOUDA,SIDI MOUMEN,CASABLANCA,CASABLANCA,HOUDA 11bOULVARD HOUDA QUARTIER SIDI MOUMEN 20075 CASABLANCA,-7.524000000000000,33.581000000000003,2,1002,Médiouna,197277
54,1540,56300,CASA ATTACHAROUK,MOULAY RACHID,CASABLANCA,CASABLANCA,Q. ATTACHAROUK 20606 CASABLANCA,-7.528000000000000,33.570999999999998,2,1002,Médiouna,197277
55,1621,50800,TIT MELLIL,TIT MELLIL,MEDIOUNA,CASABLANCA,Route n° 106 Centre Tit Mellil 29642 TIT MELLIL,-7.484000000000000,33.555999999999997,2,1002,Médiouna,197277
56,1699,53500,CASA HAY EL BARAKA,MOULAY RACHID,CASABLANCA,CASABLANCA,Rue Y Groupe 4. Hay Moulay Rachid Hay My Rachid 20702 CASABLANCA,-7.543000000000000,33.569000000000003,2,1002,Médiouna,197277
57,1752,50012,CASABLANCA HAY SADRI,MOULAY RACHID,CASABLANCA,CASABLANCA,hay sadri moulay rachid 20652 casablanca,-7.551000000000000,33.570000000000000,2,1002,Médiouna,197277
58,87,50300,MOHAMMADIA PPAL,MOHAMMEDIA,MOHAMMEDIA,CASABLANCA,Angle Rue Oued Zem et Bd Zerktouni Ville Basse 28806 MOHAMMEDIA,-7.396000000000000,33.706000000000003,3,1003,Mohammadia,374004
59,155,54900,MOHAMMEDIA LA COLLINE,MOHAMMEDIA,MOHAMMEDIA,CASABLANCA,Avenue Hassan 1er. Quartier la colline Hay El Qods 28804 MOHAMMEDIA,-7.374000000000000,33.697000000000003,3,1003,Mohammadia,374004
60,267,53600,MOHAMMADIA HASSANIA,MOHAMMEDIA,MOHAMMEDIA,CASABLANCA,"Bd Med VI, Hassania II Hassania 28803 MOHAMMEDIA",-7.391000000000000,33.676000000000002,3,1003,Mohammadia,374004
61,293,50400,MOHAMMADIA EL ALIA,MOHAMMEDIA,MOHAMMEDIA,CASABLANCA,Angle Bd Tadla et Avenu maghreb el Arabi El Alia 28802 MOHAMMEDIA,-7.391000000000000,33.686999999999998,3,1003,Mohammadia,374004
62,1462,55000,MOHAMMEDIA RACHIDIA,MOHAMMEDIA,MOHAMMEDIA,CASABLANCA,Lotissement Rachidia III Bloc B Rachiudia 28805 MOHAMMEDIA,-7.376000000000000,33.683999999999997,3,1003,Mohammadia,374004
63,1688,50360,MOHAMMADIA GARE,MOHAMMEDIA,MOHAMMEDIA,CASABLANCA,Rue Oued El Makhazine el kasba  28013 MOHAMMEDIA,-7.387000000000000,33.697000000000003,3,1003,Mohammadia,374004
64,34,50060,CASA AEROPORT MOHAMED V,AL MAJJATIA OULAD TALEB,MEDIOUNA,CASABLANCA,Aéroport Mohamed V AL MAJJATIA OULAD TALEB 29002 MEDIOUNA,-7.533000000000000,33.433999999999997,4,1004,Nouaceur,294888
65,70,54700,CASA HAY SALMIA,SBATA,CASABLANCA,CASABLANCA,Angle Bd Joulane et Rue 18 Salmia II  SALMIA II 20453 CASABLANCA,-7.554000000000000,33.539000000000001,4,1004,Nouaceur,294888
66,224,54400,CASA HAY IFRIQUIA,BEN M'SICK,CASABLANCA,CASABLANCA,Bd Abdellah Senhaji  Hay Ifriquia 20454 CASABLANCA,-7.588000000000000,33.554000000000002,4,1004,Nouaceur,294888
67,229,55300,CASABLANCA HAY ESSALAMA,SIDI OTHMANE,CASABLANCA,CASABLANCA,"Bd Al Akid Al-Allam. Hay Essalama 3, n° 450-452 3 20704 CASABLANCA",-7.558000000000000,33.566000000000003,4,1004,Nouaceur,294888
68,268,56710,CASA MEKDAD LAHRIZI,SBATA,CASABLANCA,CASABLANCA,BD MEKDAD LAHRIZI 20073 CASABLANCA,-7.562000000000000,33.542999999999999,4,1004,Nouaceur,294888
69,269,54300,CASA KSAR BHAR,BEN M'SICK,CASABLANCA,CASABLANCA,Bd Mohamed Bouafi. Ksar Bhar 20455 CASABLANCA,-7.583000000000000,33.548999999999999,4,1004,Nouaceur,294888
70,301,52363,CASA SOUK JOUMLA,SIDI OTHMANE,CASABLANCA,CASABLANCA,Bd. Driss Harti souk joumla  20034 CASABLANCA,-7.561000000000000,33.555000000000000,4,1004,Nouaceur,294888
71,322,52460,CASA HAY YASMINA,AIN-CHOCK,CASABLANCA,CASABLANCA,Boulevard Amgala Hay Yasmina 20033 CASABLANCA,-7.600000000000000,33.545999999999999,4,1004,Nouaceur,294888
72,392,50600,DAR BOUAZZA,DAR BOUAZZA,NOUACEUR,CASABLANCA,Centre Commune Rurale Dar Bouazza   27223 NOUACEUR,-7.818000000000000,33.515000000000001,4,1004,Nouaceur,294888
73,644,50072,CASABLANCA AEROPORT MOHAMED V TERMINAL 2,AL MAJJATIA OULAD TALEB,MEDIOUNA,CASABLANCA,Commune Al majatia oulad Taleb aeroport Mohammed V Terminal 2 29003 CASABLANCA,-7.528000000000000,33.430999999999997,4,1004,Nouaceur,294888
74,779,50630,BEN ABID,DAR BOUAZZA,NOUACEUR,CASABLANCA,commune DAR BOUAZZA 27222 NOUACEUR,-7.783000000000000,33.527000000000001,4,1004,Nouaceur,294888
75,1382,52800,CASA CITE DJEMAA,BEN M'SICK,CASABLANCA,CASABLANCA,Derb Friha Bloc 1. Cité Djemaa 20452 CASABLANCA,-7.570000000000000,33.551000000000002,4,1004,Nouaceur,294888
76,1384,52364,CASA LAHRAOUYINE,LAHRAOUYINE,MEDIOUNA,CASABLANCA,DOUAR OULAD MELLOUK COMMUNE LAHRAOUIYINE 29004 CASABLANCA MEDIOUNA,-7.544000000000000,33.545999999999999,4,1004,Nouaceur,294888
77,1425,52300,CASA SIDI OTHMANE,SIDI OTHMANE,CASABLANCA,CASABLANCA,"Immb PTT, Bd Joulane. Sidi Othmane 20705 CASABLANCA",-7.574000000000000,33.560000000000002,4,1004,Nouaceur,294888
78,1435,54360,CASA HAY JAMILA,SBATA,CASABLANCA,CASABLANCA,Rue 4 Jamila 7 hay jamila cité djemaa  20045 CASABLANCA,-7.571000000000000,33.540999999999997,4,1004,Nouaceur,294888
79,1446,50700,BOUSKOURA,BOUSKOURA,NOUACEUR,CASABLANCA,Km 17 R 109 Bouskoura 27182 NOUACEUR,-7.650000000000000,33.457000000000001,4,1004,Nouaceur,294888
80,1450,50900,SIDI MAAROUF,AIN-CHOCK,CASABLANCA,CASABLANCA,"Lot Al Quaraouiya, Sidi Maarouf PAM 20192 CASABLANCA",-7.653000000000000,33.515000000000001,4,1004,Nouaceur,294888
81,1465,50011,CASABLANCA ENNASSIM,HAY-HASSANI,CASABLANCA,CASABLANCA,"Lotissemnt Ennassim , Lissasfa  Hay Hassani 20084 Casablanca",-7.662000000000000,33.518999999999998,4,1004,Nouaceur,294888
82,1488,50013,CASABLANCA BOULEVARD 10 MARS,SIDI OTHMANE,CASABLANCA,CASABLANCA,"N° 325, AV 10 Mars Cité Mabrouka Sidi Othman 20083 Casablanca",-7.567000000000000,33.561999999999998,4,1004,Nouaceur,294888
83,1634,53560,CASA HAY EL FALAH,MOULAY RACHID,CASABLANCA,CASABLANCA,N° 124 et 126 Rue 1 hay el falah  20043 CASABLANCA,-7.549000000000000,33.561000000000000,4,1004,Nouaceur,294888
84,1636,52400,CASA HAY EL INARA,AIN-CHOCK,CASABLANCA,CASABLANCA,"Rue 12, Complexe CNSS Hay El Inara 20152 CASABLANCA",-7.600000000000000,33.536999999999999,4,1004,Nouaceur,294888
85,1639,55100,CASA MCALLA,AIN-CHOCK,CASABLANCA,CASABLANCA,Rue 201 Quartier Mly Abdellah Bd El Qods 20154 CASABLANCA,-7.592000000000000,33.539999999999999,4,1004,Nouaceur,294888
86,157,6200,BOUZNIKA,BOUZNIKA,BENSLIMANE,SETTAT,Avenue Hassan II 13102 BOUZNIKA,-7.213000000000000,33.773000000000003,5,1101,Benslimane,214744
87,249,94300,BENSLIMANE FATH,BENSLIMANE,BENSLIMANE,SETTAT,Bd Hassan II  Quartier El Farah 13002 Benslimane,-7.123000000000000,33.619000000000000,5,1101,Benslimane,214744
88,303,94000,BENSLIMANE PPAL,BENSLIMANE,BENSLIMANE,SETTAT,Bd. Hassan II Bd Zerktouni 13004 Benslimane,-7.133000000000000,33.621000000000002,5,1101,Benslimane,214744
89,388,94100,BENI YAKHLEF,BEN YAKHLEF,MOHAMMEDIA,SETTAT,Centre Bni Yakhlef 28815 MOHAMMEDIA,-7.335000000000000,33.688000000000002,5,1101,Benslimane,214744
90,406,94200,FEDALATE,FDALATE,BENSLIMANE,SETTAT,Centre Fedalate 13003 BENSLIMANE,-7.311000000000000,33.573000000000000,5,1101,Benslimane,214744
91,440,94500,MELLILA,MELLILA,BENSLIMANE,SETTAT,Centre Mellila   13202 BENSLIMANE,-7.146000000000000,33.393000000000001,5,1101,Benslimane,214744
92,477,94700,SIDI MOUSSA BEN ALI,SIDI MOUSSA BEN ALI,MOHAMMEDIA,SETTAT,Centre Sidi Moussa Ben Al   28814 MOHAMMEDIA,-7.382000000000000,33.561999999999998,5,1101,Benslimane,214744
93,559,53030,AHLAF,AHLAF,BENSLIMANE,SETTAT,commune AHLAF 13322 BENSLIMANE,-7.205000000000000,33.280999999999999,5,1101,Benslimane,214744
94,576,94034,EL KRASSI,AIN TIZGHA,BENSLIMANE,SETTAT,commune AIN TIZGHA  13024 BENSLIMANE,-6.988000000000000,33.560000000000002,5,1101,Benslimane,214744
95,706,94032,BESSABES,BENSLIMANE,BENSLIMANE,SETTAT,commune BENSLIMANE 13023,-7.118000000000000,33.609000000000002,5,1101,Benslimane,214744
96,804,94130,EL MANSOURIA,EL MANSOURIA,BENSLIMANE,SETTAT,commune EL MANSOURIA  13072 BENSLIMANE,-7.300000000000000,33.744000000000000,5,1101,Benslimane,214744
97,1002,94033,BENNABET,MOUALINE EL GHABA,BENSLIMANE,SETTAT,commune MOUALINE EL GHABA  13022 BENSLIMANE,-7.171000000000000,33.631000000000000,5,1101,Benslimane,214744
98,1003,89037,MOULAINE EL OUED,MOUALINE EL OUED,BENSLIMANE,SETTAT,commune MOUALINE EL OUED 13033 BENSLIMANE,-7.371000000000000,33.466999999999999,5,1101,Benslimane,214744
99,1067,94035,TNINE OULAD ALI,OULAD ALI TOUALAA,BENSLIMANE,SETTAT,commune OULAD ALI TOUALAA  13025 BENSLIMANE,-7.198000000000000,33.433000000000000,5,1101,Benslimane,214744
100,1368,94036,ZIAIDA,ZIAIDA,BENSLIMANE,SETTAT,commune ZIAIDA  13026 BENSLIMANE,-7.102000000000000,33.494000000000000,5,1101,Benslimane,214744
101,1417,6260,BOUZNIKA HAY RIAD,BOUZNIKA,BENSLIMANE,SETTAT,Hay Ryad n°1086  13006 BOUZNIKA,-7.207000000000000,33.755000000000003,5,1101,Benslimane,214744
102,1424,94230,SOUALEM ET TIRS,MOUALINE EL OUED,BENSLIMANE,SETTAT,Commune MOUALINE EL OUED SOUALEM ET TIRS 13032 province benslimane,-7.340000000000000,33.445999999999998,5,1101,Benslimane,214744
103,1631,6800,SIDI YAHIA ZAERS,SIDI YAHYA ZAER,SKHIRATE-TEMARA,RABAT,Route Témara Centre de Sidi Yahya ZAERS   12152 SKHIRATE-TEMARA,-6.921000000000000,33.828000000000003,5,1101,Benslimane,214744
104,223,84400,BEJJAAD PPAL,BEJAAD,KHOURIBGA,SETTAT,Bd 20 Aout 25063 Bejaad,-6.389000000000000,32.761000000000003,6,1102,Khouribga,530182
105,254,87000,KHOURIBGA PPAL,KHOURIBGA,KHOURIBGA,SETTAT,Bd Hassan II Angle Bd Mohamed V 25005 Khouribga,-6.912000000000000,32.881999999999998,6,1102,Khouribga,530182
106,296,87400,KHOURIBGA ZELLAGA,KHOURIBGA,KHOURIBGA,SETTAT,Bd Zellaga 25002 Khouribga,-6.916000000000000,32.887999999999998,6,1102,Khouribga,530182
107,297,87710,KHOURIBGA HAY AL FATH,KHOURIBGA,KHOURIBGA,SETTAT,Bd Zellaga hay el fath  25016 KHOURIBGA,-6.924000000000000,32.890000000000001,6,1102,Khouribga,530182
108,314,87063,KHOURIBGA AL MASSIRA,KHOURIBGA,KHOURIBGA,SETTAT,Bloc f Avenue Ahmed Elhiba n°223 Massira 25013 KHOURIBGA,-6.892000000000000,32.890000000000001,6,1102,Khouribga,530182
109,403,87500,EL GUEFFAF,LAGFAF,KHOURIBGA,SETTAT,Centre El Gueffaf   25202 KHOURIBGA,-6.716000000000000,32.920000000000002,6,1102,Khouribga,530182
110,413,84300,HAD BNI BATAO,BNI BATAOU,KHOURIBGA,SETTAT,Centre Had Bni Batao   25252 KHOURIBGA,-6.282000000000000,32.832999999999998,6,1102,Khouribga,530182
111,465,87600,SEBT BENI YAKHLEF,BNI YKHLEF,KHOURIBGA,SETTAT,Centre Sebt Bni Yakhlef 25003 KHOURIBGA,-6.817000000000000,32.951000000000001,6,1102,Khouribga,530182
112,490,84100,TACHREFT,TACHRAFAT,KHOURIBGA,SETTAT,Centre Tachraft   25452 KHOURIBGA,-6.475000000000000,32.826000000000001,6,1102,Khouribga,530182
113,512,84200,TLETA CHOUGRANE,CHOUGRANE,KHOURIBGA,SETTAT,Centre Tleta Chougrane   25502 KHOURIBGA,-6.266000000000000,33.011000000000003,6,1102,Khouribga,530182
114,565,84130,AIN KICHER,AIN KAICHER,KHOURIBGA,SETTAT,commune AIN KAICHER  25472 KHOURIBGA,-6.594000000000000,32.720999999999997,6,1102,Khouribga,530182
115,580,88230,AIT AMMAR,AIT AMMAR,KHOURIBGA,SETTAT,commune AIT AMMAR  25422 KHOURIBGA,-6.658000000000000,33.064000000000000,6,1102,Khouribga,530182
116,709,88035,BIR MEZOUI,BIR MEZOUI,KHOURIBGA,SETTAT,commune BIR MEZOUI  25373 KHOURIBGA,-6.681000000000000,32.899000000000001,6,1102,Khouribga,530182
117,736,88034,BNI SMIR,BNI SMIR,KHOURIBGA,SETTAT,commune BNI SMIR  25374 KHOURIBGA,-6.643000000000000,32.805000000000000,6,1102,Khouribga,530182
118,739,84330,TLETA BENI ZRANTIL,BNI ZRANTEL,KHOURIBGA,SETTAT,commune BNI ZRANTEL  25272 KHOURIBGA,-6.243000000000000,32.741999999999997,6,1102,Khouribga,530182
119,752,84331,BOUKHRISSE,BOUKHRISSE,KHOURIBGA,SETTAT,commune BOUKHRISSE  25072 KHOURIBGA,-6.197000000000000,32.838999999999999,6,1102,Khouribga,530182
120,766,88036,SEBT DECHRA BRAKSA,BRAKSA,KHOURIBGA,SETTAT,commune BRAKSA 25383 KHOURIBGA,-6.412000000000000,32.915999999999997,6,1102,Khouribga,530182
121,795,87030,EL FOKRA,EL FOQRA,KHOURIBGA,SETTAT,commune EL FOQRA  25022 KHOURIBGA,-6.917000000000000,32.765999999999998,6,1102,Khouribga,530182
122,902,88030,KASBAT TROCH,KASBAT TROCH,KHOURIBGA,SETTAT,commune KASBAT TROCH  25376 KHOURIBGA,-6.589000000000000,32.929000000000002,6,1102,Khouribga,530182
123,934,88231,TLETA GNADIZ,LAGNADIZ,KHOURIBGA,SETTAT,commune LAGNADIZ  25424 KHOURIBGA,-6.815000000000000,33.148000000000003,6,1102,Khouribga,530182
124,958,88032,ARBAA MAADNA,MAADNA,KHOURIBGA,SETTAT,commune MAADNA  25372 KHOURIBGA,-6.494000000000000,32.939000000000000,6,1102,Khouribga,530182
